6714 Sebert Ave, Cleveland, 44105 (5 requests)
Vacant Property Open to Entry, May 20, 2024, 02:09PM
Vacant Property, May 20, 2024, 02:11PM

16602 Lipton Ave, Cleveland, 44128 (2 requests)
Cart Pick Up, May 20, 2024, 03:03PM
Waste Cart Concerns, May 20, 2024, 03:08PM

3879 Strandhill Rd, Cleveland, 44128 (2 requests)
Waste Cart Concerns, May 20, 2024, 03:27PM
Missing Recycling Welcome Packet, May 20, 2024, 03:29PM

3127 Becket Rd, Cleveland, 44120 (2 requests)
Vacant Property, May 20, 2024, 03:54PM
Vacant Property Open to Entry, May 21, 2024, 12:38PM

4273 E 137 St, Cleveland, 44105 (2 requests)
Vacant and Distressed Property, May 20, 2024, 05:03PM
Vacant Property, May 20, 2024, 06:38PM

13621 Caine Ave, Cleveland, 44105 (2 requests)
Collapsing Structure, May 20, 2024, 05:16PM
Vacant Property, May 20, 2024, 05:33PM

3581 W 132 St, Cleveland, 44111 (2 requests)
Waste Cart Concerns, May 20, 2024, 05:46PM
No Permit, May 24, 2024, 08:16PM

4343 Valleyside Rd, Cleveland, 44135 (2 requests)
Waste Cart Concerns, May 20, 2024, 05:56PM
Missing Recycling Welcome Packet, May 20, 2024, 05:58PM

11804 Kensington Ave, Cleveland, 44111 (2 requests)
Waste Cart Concerns, May 20, 2024, 08:11PM
Waste Cart Concerns, May 20, 2024, 08:12PM

10833 Olivet Ave, Cleveland, 44108 (2 requests)
Cart Pick Up, May 20, 2024, 08:22PM
Vacant and Distressed Property, May 22, 2024, 06:35PM

18236 Flamingo Ave, Cleveland, 44135 (2 requests)
Missed Refuse pick up, May 20, 2024, 08:24PM
Fallen or Hanging Branch, May 28, 2024, 03:08PM

3410 E 135 St, Cleveland, 44120 (2 requests)
Vacant Property Open to Entry, May 20, 2024, 08:48PM
General Exterior Maintenance/Fence/Outbuildings, May 20, 2024, 08:50PM

3755 E 154 St, Cleveland, 44128 (2 requests)
Vacant Property Open to Entry, May 21, 2024, 05:53AM
Vacant Property, May 21, 2024, 04:53PM

15103 Aldene Ave, Cleveland, 44135 (2 requests)
Vacant Property, May 21, 2024, 12:53PM
Vacant and Distressed Property, May 21, 2024, 12:55PM

9717 Marah Ave, Cleveland, 44104 (2 requests)
Vacant Property Open to Entry, May 21, 2024, 03:07PM
Vacant and Distressed Property, May 21, 2024, 03:08PM

1106 E 64 St, Cleveland, 44103 (2 requests)
Vacant Property, May 21, 2024, 03:42PM
Vacant Property, May 29, 2024, 07:12PM

3560 E 118 St, Cleveland, 44105 (2 requests)
Vacant Property Open to Entry, May 21, 2024, 04:04PM
Vacant Property, May 21, 2024, 04:05PM

4138 E 104 St, Cleveland, 44105 (2 requests)
Vacant Property, May 21, 2024, 04:14PM
General Exterior Maintenance/Fence/Outbuildings, May 21, 2024, 04:15PM

9509 Raymond Ave, Cleveland, 44104 (2 requests)
Vacant and Distressed Property, May 21, 2024, 04:15PM
Collapsing Structure, June 03, 2024, 06:02PM

3656 E 135 St, Cleveland, 44120 (2 requests)
Vacant Property, May 21, 2024, 05:41PM
Vacant Property, June 03, 2024, 06:10PM

125 E 156 St, Cleveland, 44110 (2 requests)
Rental Inspection Complaint, May 21, 2024, 06:05PM
Rental Inspection Complaint, May 29, 2024, 04:50PM

1083 E 146 St, Cleveland, 44110 (2 requests)
Tree Service, May 21, 2024, 07:15PM
Vacant Property, May 21, 2024, 07:16PM

3735 Warren Rd, Cleveland, 44111 (2 requests)
Waste Cart Concerns, May 21, 2024, 07:18PM
Cart Pick Up, June 03, 2024, 04:35PM

3711 E 61 St, Cleveland, 44105 (2 requests)
Electrical Issue, May 21, 2024, 07:26PM
Smoke Detector/Fire Alarm, May 21, 2024, 07:28PM

2906 E 104 St, Cleveland, 44104 (2 requests)
Vacant and Distressed Property, May 21, 2024, 09:58PM
Vacant Property, May 22, 2024, 02:55PM

16203 Sedalia Ave, Cleveland, 44135 (2 requests)
Missed Refuse pick up, May 21, 2024, 10:39PM
Waste Cart Concerns, May 21, 2024, 10:40PM

3187 W 115 St, Cleveland, 44111 (2 requests)
Waste Cart Concerns, May 22, 2024, 12:41PM
Missed Refuse pick up, May 22, 2024, 12:52PM

615 Literary Rd, Cleveland, 44113 (2 requests)
Waste Cart Concerns, May 22, 2024, 01:27PM
Missing Recycling Welcome Packet, May 22, 2024, 01:30PM

1116 Auburn Ave, Cleveland, 44113 (2 requests)
Vacant and Distressed Property, May 22, 2024, 02:40PM
Vacant Property, May 22, 2024, 02:43PM

13140 Belden Ave, Cleveland, 44111 (2 requests)
Scheduled Bulk Pick up, May 22, 2024, 03:34PM
Waste Cart Concerns, May 28, 2024, 02:28PM

4207 W 15 St, Cleveland, 44109 (2 requests)
Tire Pick up, May 22, 2024, 03:43PM
Missed Refuse pick up, May 24, 2024, 03:03PM

9317 Way Ave, Cleveland, 44105 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, May 22, 2024, 05:24PM
Illegal Use of Property, May 22, 2024, 05:26PM

3618 E 142 St, Cleveland, 44120 (2 requests)
Vacant Property, May 22, 2024, 07:28PM
Vacant Property, June 03, 2024, 04:28PM

3505 Beyerle Rd, Cleveland, 44105 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, May 22, 2024, 07:54PM
Rental Inspection Complaint, May 22, 2024, 07:57PM

12109 Phillips Ave, Cleveland, 44108 (2 requests)
Vacant Property, May 22, 2024, 08:02PM
Vacant Property, May 24, 2024, 05:47PM

10735 Elmarge Rd, Cleveland, 44105 (2 requests)
Scheduled Bulk Pick up, May 22, 2024, 11:37PM
Dead Animal Pickup, May 22, 2024, 11:39PM

15911 Westview Ave, Cleveland, 44128 (2 requests)
Vacant Property, May 23, 2024, 02:05PM
Vacant Property, May 30, 2024, 04:17PM

3895 E 189 St, Cleveland, 44122 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, May 23, 2024, 02:35PM
Vacant Property Open to Entry, May 23, 2024, 02:36PM

1415 W 54 St, Cleveland, 44102 (2 requests)
Waste Cart Concerns, May 23, 2024, 03:03PM
Missing Recycling Welcome Packet, May 23, 2024, 03:04PM

3038 W 46 St, Cleveland, 44102 (2 requests)
Vacant Property Open to Entry, May 23, 2024, 03:45PM
General Exterior Maintenance/Fence/Outbuildings, May 23, 2024, 03:47PM

653 E 131 St, Cleveland, 44108 (2 requests)
Waste Cart Concerns, May 23, 2024, 03:58PM
Recycling Opt-in Program, May 23, 2024, 04:00PM

1691 E 82 St, Cleveland, 44103 (2 requests)
Vacant Property, May 23, 2024, 04:56PM
No Permit, May 23, 2024, 04:58PM

1596 E 32 St, Cleveland, 44114 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, May 23, 2024, 06:50PM
Vacant Property, May 23, 2024, 06:51PM

4236 W 130 St, Cleveland, 44135 (2 requests)
Vacant Property, May 23, 2024, 07:13PM
Vacant Property, May 23, 2024, 07:15PM

10009 Hampden Ave, Cleveland, 44108 (2 requests)
Vacant and Distressed Property, May 23, 2024, 07:24PM
Vacant Property Open to Entry, May 23, 2024, 07:25PM

4115 E 147 St, Cleveland, 44128 (2 requests)
Vacant Property, May 23, 2024, 07:39PM
Vacant Property, May 24, 2024, 08:01PM

3416 E 114 St, Cleveland, 44104 (2 requests)
Vacant Property, May 23, 2024, 08:40PM
Tree Service, May 23, 2024, 08:41PM

9012 Harris Ave, Cleveland, 44104 (2 requests)
Vacant Property, May 24, 2024, 03:34PM
Vacant Property, May 29, 2024, 05:19PM

11325 Miles Ave, Cleveland, 44105 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, May 24, 2024, 03:38PM
Vacant Property, May 24, 2024, 03:58PM

3327 W 88 St, Cleveland, 44102 (2 requests)
Waste Cart Concerns, May 24, 2024, 04:46PM
Missing Recycling Welcome Packet, May 24, 2024, 04:48PM

13705 Elsetta Ave, Cleveland, 44135 (2 requests)
Missed Refuse pick up, May 24, 2024, 05:12PM
Missed Refuse pick up, May 24, 2024, 05:13PM

4086 E 143 St, Cleveland, 44128 (2 requests)
Vacant Property, May 24, 2024, 05:14PM
Vacant Property, May 24, 2024, 05:18PM

3442 W 59 St, Cleveland, 44102 (2 requests)
Missed Refuse pick up, May 24, 2024, 06:24PM
Waste Cart Concerns, May 24, 2024, 06:25PM

10604 Gooding Ave, Cleveland, 44108 (2 requests)
Illegal Dumping, May 24, 2024, 09:10PM
General Exterior Maintenance/Fence/Outbuildings, May 24, 2024, 09:14PM

4387 E 175 St, Cleveland, 44128 (2 requests)
Vacant Property Open to Entry, May 27, 2024, 09:56AM
Vacant Property Open to Entry, May 30, 2024, 03:09AM

14709 Darwin Ave, Cleveland, 44110 (2 requests)
Vacant Property, May 28, 2024, 12:58PM
General Exterior Maintenance/Fence/Outbuildings, May 28, 2024, 01:13PM

16609 Lotus Dr, Cleveland, 44128 (2 requests)
Waste Cart Concerns, May 28, 2024, 01:14PM
Missed Refuse pick up, May 28, 2024, 07:48PM

14809 Darwin Ave, Cleveland, 44110 (2 requests)
Vacant Property, May 28, 2024, 01:21PM
General Exterior Maintenance/Fence/Outbuildings, May 28, 2024, 01:25PM

14805 Darwin Ave, Cleveland, 44110 (2 requests)
Illegal Dumping, May 28, 2024, 01:30PM
Cart Pick Up, May 28, 2024, 01:31PM

3279 W 30 St, Cleveland, 44109 (2 requests)
Tree Service, May 28, 2024, 01:36PM
Vacant Property, May 28, 2024, 01:38PM

3525 W 52 St, Cleveland, 44102 (2 requests)
Waste Cart Concerns, May 28, 2024, 01:57PM
Waste Cart Concerns, May 31, 2024, 02:32PM

3637 E 112 St, Cleveland, 44105 (2 requests)
Vacant Property, May 28, 2024, 03:19PM
General Exterior Maintenance/Fence/Outbuildings, May 28, 2024, 03:23PM

3741 E 154 St, Cleveland, 44120 (2 requests)
Waste Cart Concerns, May 28, 2024, 03:21PM
Waste Cart Concerns, May 28, 2024, 03:22PM

3792 W 132 St, Cleveland, 44111 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, May 28, 2024, 03:36PM
Rental Inspection Complaint, May 28, 2024, 03:37PM

3891 E 146 St, Cleveland, 44128 (2 requests)
Dead Animal Pickup, May 28, 2024, 04:11PM
Cart Pick Up, May 29, 2024, 03:07PM

3452 E 149 St, Cleveland, 44120 (2 requests)
Waste Cart Concerns, May 28, 2024, 04:18PM
Waste Cart Concerns, May 28, 2024, 04:20PM

4347 Valleyside Rd, Cleveland, 44135 (2 requests)
Missed Refuse pick up, May 28, 2024, 04:39PM
Waste Cart Concerns, May 28, 2024, 04:42PM

13231 Puritas Ave, Cleveland, 44135 (2 requests)
Missing Recycling Welcome Packet, May 28, 2024, 04:45PM
Cart Pick Up, June 03, 2024, 06:47PM

11901 Guardian Blvd, Cleveland, 44135 (2 requests)
Waste Cart Concerns, May 28, 2024, 06:55PM
Cart Pick Up, May 30, 2024, 06:18PM

1405 E 41 St, Cleveland, 44103 (2 requests)
Recycling Opt-in Program, May 28, 2024, 07:48PM
Missing Recycling Welcome Packet, May 28, 2024, 07:50PM

2605 W 41 St, Cleveland, 44113 (2 requests)
Vacant Property, May 28, 2024, 09:12PM
General Exterior Maintenance/Fence/Outbuildings, May 28, 2024, 09:14PM

5525 E 55 St, Cleveland, 44103 (2 requests)
Vacant and Distressed Property, May 28, 2024, 09:44PM
Vacant Property, May 29, 2024, 08:01PM

666 E 107 St, Cleveland, 44108 (2 requests)
Vacant Property Open to Entry, May 29, 2024, 12:08PM
Vacant Property, May 29, 2024, 12:10PM

12216 Locke Ave, Cleveland, 44108 (2 requests)
Vacant Property, May 29, 2024, 03:35PM
General Exterior Maintenance/Fence/Outbuildings, May 29, 2024, 03:37PM

923 Fruit Ave, Cleveland, 44113 (2 requests)
Vacant Property, May 29, 2024, 04:07PM
Vacant Property, May 29, 2024, 04:08PM

12009 Oakfield Ave, Cleveland, 44105 (2 requests)
Waste Cart Concerns, May 29, 2024, 05:06PM
Waste Cart Concerns, May 29, 2024, 05:10PM

3550 Seymour Ave, Cleveland, 44113 (2 requests)
Waste Cart Concerns, May 29, 2024, 06:42PM
Waste Cart Concerns, May 29, 2024, 06:43PM

3613 W 50 St, Cleveland, 44102 (2 requests)
Illegal Dumping, May 29, 2024, 06:55PM
Vacant Property Open to Entry, May 29, 2024, 07:11PM

10301 Mt Auburn Ave, Cleveland, 44104 (2 requests)
Vacant Property, May 29, 2024, 07:04PM
Cart Pick Up, May 29, 2024, 07:07PM

14710 Milverton Rd, Cleveland, 44120 (2 requests)
Vacant Property, May 29, 2024, 07:22PM
Early Set Out-Carts Left Out After Collection, May 29, 2024, 07:23PM

13818 Melzer Ave, Cleveland, 44120 (2 requests)
Waste Cart Concerns, May 29, 2024, 07:26PM
Waste Cart Concerns, May 29, 2024, 07:35PM

3612 Carlyle Ave, Cleveland, 44109 (2 requests)
Vacant Property, May 29, 2024, 08:57PM
General Exterior Maintenance/Fence/Outbuildings, May 29, 2024, 08:58PM

12505 Kirton Ave, Cleveland, 44135 (2 requests)
Waste Cart Concerns, May 30, 2024, 12:44PM
Waste Cart Concerns, May 30, 2024, 12:47PM

4117 Oak Park Ave, Cleveland, 44109 (2 requests)
Dead Animal Pickup, May 30, 2024, 12:49PM
Dead Animal Pickup, May 31, 2024, 12:57PM

2092 W 101 St, Cleveland, 44102 (2 requests)
Vacant Property Open to Entry, May 30, 2024, 01:46PM
Vacant Property, May 30, 2024, 01:47PM

12815 Harvard Ave, Cleveland, 44105 (2 requests)
Vacant Property, May 30, 2024, 03:09PM
Vacant and Distressed Property, May 30, 2024, 03:14PM

3878 W 118 St, Cleveland, 44111 (2 requests)
Vacant Property, May 30, 2024, 04:04PM
Tree Service, May 30, 2024, 04:09PM

3537 E 106 St, Cleveland, 44105 (2 requests)
Vacant Property, May 30, 2024, 05:28PM
Vacant Property Open to Entry, May 30, 2024, 05:36PM

9625 Stoughton Ave, Cleveland, 44104 (2 requests)
Waste Cart Concerns, May 30, 2024, 06:02PM
Waste Cart Concerns, May 30, 2024, 06:11PM

10715 Thrush Ave, Cleveland, 44111 (2 requests)
Waste Cart Concerns, May 30, 2024, 06:14PM
Waste Cart Concerns, May 30, 2024, 06:15PM

15514 Talford Ave, Cleveland, 44128 (2 requests)
Vacant Property Open to Entry, May 30, 2024, 06:34PM
Vacant Property, May 30, 2024, 06:37PM

3773 Lee Rd, Cleveland, 44128 (2 requests)
Vacant Property, May 30, 2024, 07:29PM
Vacant and Distressed Property, May 30, 2024, 07:30PM

12810 Marston Ave, Cleveland, 44105 (2 requests)
Dead Animal Pickup, May 30, 2024, 08:31PM
Dead Animal Pickup, May 31, 2024, 01:39PM

3220 W 58 St, Cleveland, 44102 (2 requests)
Vacant Property Open to Entry, May 30, 2024, 09:02PM
Vacant Property, May 30, 2024, 09:04PM

2192 W 93 St, Cleveland, 44102 (2 requests)
Vacant Property, May 31, 2024, 01:48PM
General Exterior Maintenance/Fence/Outbuildings, May 31, 2024, 01:50PM

1898 E 69 St, Cleveland, 44103 (2 requests)
Vacant Property, May 31, 2024, 01:54PM
General Exterior Maintenance/Fence/Outbuildings, May 31, 2024, 02:08PM

4460 E 158 St, Cleveland, 44128 (2 requests)
Vacant Property, May 31, 2024, 04:04PM
Tree Service, May 31, 2024, 04:07PM

3647 E 140 St, Cleveland, 44120 (2 requests)
Waste Cart Concerns, May 31, 2024, 05:08PM
Waste Cart Concerns, May 31, 2024, 05:08PM

678 E 118 St, Cleveland, 44108 (2 requests)
Vacant and Distressed Property, June 01, 2024, 02:38PM
Vacant Property, June 03, 2024, 03:51PM

10514 Pasadena Ave, Cleveland, 44108 (2 requests)
Vacant Property, June 03, 2024, 01:10PM
Vacant and Distressed Property, June 03, 2024, 01:11PM

13618 Benwood Ave, Cleveland, 44105 (2 requests)
Vacant Property, June 03, 2024, 01:16PM
Vacant and Distressed Property, June 03, 2024, 01:17PM

1265 E 168 St, Cleveland, 44110 (2 requests)
Illegal Dumping, June 03, 2024, 03:11PM
Waste Cart Concerns, June 03, 2024, 03:14PM

4700 Bragdon Ave, Cleveland, 44102 (2 requests)
Missed Refuse pick up, June 03, 2024, 03:50PM
Missing Recycling Welcome Packet, June 03, 2024, 03:51PM

16401 Judson Dr, Cleveland, 44128 (2 requests)
Waste Cart Concerns, June 03, 2024, 04:51PM
Recycling Opt-in Program, June 03, 2024, 04:55PM

3597 E 135 St, Cleveland, 44120 (2 requests)
Vacant Property, June 03, 2024, 06:07PM
Vacant Property, June 03, 2024, 06:09PM

3596 E 120 St, Cleveland, 44105 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 03, 2024, 08:39PM
Vacant Property, June 03, 2024, 08:40PM

13202 Harvard Ave, Cleveland, 44105 (2 requests)
Waste Cart Concerns, June 03, 2024, 08:46PM
Vacant Property, June 03, 2024, 08:51PM

4245 E 189 St, Cleveland, 44122 (2 requests)
Dead Animal Pickup, June 03, 2024, 08:48PM
Missed Refuse pick up, June 03, 2024, 08:49PM

12710 Union Ave, Cleveland, Oh, 44105 (2 requests)
Dead Animal Pickup, June 04, 2024, 12:34PM
Vacant Property, July 18, 2024, 08:52PM

14120 Gramatan Ave, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, June 04, 2024, 12:44PM
Cart Pick Up, June 21, 2024, 01:10PM

17721 Crestland Rd, Cleveland, Oh, 44119 (2 requests)
Vacant Property, June 04, 2024, 01:19PM
Fallen or Hanging Branch, July 24, 2024, 08:26PM

3650 Independence Rd, Cleveland, Oh, 44105 (2 requests)
Cart Pick Up, June 04, 2024, 03:33PM
Cart Pick Up, June 26, 2024, 05:11PM

6211 Hough Ave, Cleveland, Oh, 44103 (2 requests)
Waste Cart Concerns, June 04, 2024, 03:39PM
Waste Cart Concerns, July 15, 2024, 03:54PM

2910 Hampton Rd, Cleveland, Oh, 44120 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 04, 2024, 03:53PM
General Exterior Maintenance/Fence/Outbuildings, July 16, 2024, 03:48PM

3911 E 131St St, Cleveland, Oh, 44105 (2 requests)
Vacant Property Open to Entry, June 04, 2024, 05:43PM
Vacant and Distressed Property, June 04, 2024, 05:44PM

15604 Westview Ave, Cleveland, Oh, 44128 (2 requests)
Waste Cart Concerns, June 04, 2024, 07:27PM
Waste Cart Concerns, June 04, 2024, 07:29PM

636 E 109Th St, Cleveland, Oh, 44108 (2 requests)
Vacant Property Open to Entry, June 04, 2024, 07:46PM
Vacant Property Open to Entry, July 24, 2024, 01:21PM

640 E 109Th St, Cleveland, Oh, 44108 (2 requests)
Vacant Property Open to Entry, June 04, 2024, 07:50PM
Illegal Dumping, June 14, 2024, 01:39PM

1725 Buhrer Ave, Cleveland, Oh, 44109 (2 requests)
Vacant Property, June 04, 2024, 07:53PM
Vacant Property, June 06, 2024, 03:19PM

1192 E 146Th St, Cleveland, Oh, 44110 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 04, 2024, 08:54PM
Vacant Property, June 04, 2024, 08:58PM

1184 E 146Th St, Cleveland, Oh, 44110 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 04, 2024, 08:55PM
Vacant Property, June 04, 2024, 08:57PM

14802 Edgewood Ave, Cleveland, Oh, 44128 (2 requests)
Dead Animal Pickup, June 04, 2024, 09:38PM
Waste Cart Concerns, July 01, 2024, 02:21PM

1267 E 111Th St, Cleveland, Oh, 44108 (2 requests)
Missed Refuse pick up, June 04, 2024, 10:24PM
Missed Refuse pick up, July 10, 2024, 03:33PM

3795 W 139Th St, Cleveland, Oh, 44111 (2 requests)
Missed Refuse pick up, June 05, 2024, 01:03AM
Scheduled Bulk Pick up, June 05, 2024, 01:05AM

17310 Holly Hill Dr, Cleveland, Oh, 44128 (2 requests)
Waste Cart Concerns, June 05, 2024, 02:24PM
Waste Cart Concerns, June 05, 2024, 02:26PM

3741 E 146Th St, Cleveland, Oh, 44120 (2 requests)
Missed Refuse pick up, June 05, 2024, 03:04PM
Scheduled Bulk Pick up, July 22, 2024, 05:30PM

15810 Holmes Ave, Cleveland, Oh, 44110 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 05, 2024, 03:16PM
No Permit, July 15, 2024, 03:40PM

1770 W 57Th St, Cleveland, Oh, 44102 (2 requests)
Vacant Property Open to Entry, June 05, 2024, 03:45PM
Vacant and Distressed Property, June 05, 2024, 04:21PM

15402 Judson Dr, Cleveland, Oh, 44128 (2 requests)
Vacant Property, June 05, 2024, 03:46PM
Illegal Dumping, June 05, 2024, 03:50PM

13900 Lakeshore Blvd, Cleveland, Oh, 44110 (2 requests)
Missed Refuse pick up, June 05, 2024, 04:25PM
Missed Refuse pick up, July 17, 2024, 03:37PM

14113 Edgewood Ave, Cleveland, Oh, 44128 (2 requests)
Missed Refuse pick up, June 05, 2024, 07:00PM
Missed Refuse pick up, June 05, 2024, 07:01PM

4655 E 175Th St, Cleveland, Oh, 44128 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 05, 2024, 07:09PM
Vacant Property, June 05, 2024, 07:26PM

17005 S Miles Rd, Cleveland, Oh, 44128 (2 requests)
Vacant Property, June 05, 2024, 07:30PM
Illegal Dumping, July 24, 2024, 03:49PM

2235 West Blvd, Cleveland, Oh, 44102 (2 requests)
Missed Refuse pick up, June 05, 2024, 08:37PM
Missed Refuse pick up, June 05, 2024, 08:39PM

1316 E 68Th St, Cleveland, Oh, 44103 (2 requests)
Missed Refuse pick up, June 05, 2024, 08:47PM
Missed Refuse pick up, June 05, 2024, 08:49PM

3727 Warren Rd, Cleveland, Oh, 44111 (2 requests)
Missing Recycling Welcome Packet, June 05, 2024, 08:59PM
Waste Cart Concerns, June 25, 2024, 07:55AM

4723 W 25Th St, Cleveland, Oh, 44109 (2 requests)
Collapsing Structure, June 06, 2024, 12:49PM
Vacant and Distressed Property, June 06, 2024, 12:52PM

3220 Riverside Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, June 06, 2024, 01:05PM
Cart Pick Up, July 09, 2024, 12:27PM

10829 Morison Ave, Cleveland, Oh, 44108 (2 requests)
Vacant Property, June 06, 2024, 01:26PM
Vacant Property, July 11, 2024, 05:15PM

5204 Franklin Blvd, Cleveland, Oh, 44102 (2 requests)
Cart Pick Up, June 06, 2024, 01:29PM
Waste Cart Concerns, June 06, 2024, 01:31PM

601 Lakeside Ave E, Cleveland, Oh, 44114 (2 requests)
Lead Hazard/Peeling Paint, June 06, 2024, 01:41PM
Smoke Detector/Fire Alarm, July 11, 2024, 10:30AM

923 Fruit Ave, Cleveland, Oh, 44113 (2 requests)
Vacant Property, June 06, 2024, 01:44PM
Vacant Property, June 06, 2024, 01:47PM

200 Cleveland Memorial Shoreway, Cleveland, Oh, 44114 (2 requests)
Illegal Dumping, June 06, 2024, 01:51PM
Missed Refuse pick up, June 06, 2024, 01:57PM

15710 Corsica Ave, Cleveland, Oh, 44110 (2 requests)
Vacant Property Open to Entry, June 06, 2024, 03:51PM
Vacant Property, June 06, 2024, 03:51PM

6915 Hague Ave, Cleveland, Oh, 44102 (2 requests)
Vacant Property Open to Entry, June 06, 2024, 04:29PM
Vacant Property Open to Entry, June 08, 2024, 07:13AM

1367 E 6Th St, Cleveland, Oh, 44114 (2 requests)
Downtown Trash Receptacle, June 06, 2024, 05:49PM
Debris in Street, July 17, 2024, 12:41PM

11409 Western Ave, Cleveland, Oh, 44111 (2 requests)
Missing Recycling Welcome Packet, June 06, 2024, 05:54PM
Waste Cart Concerns, July 09, 2024, 07:33PM

2087 W 73Rd St, Cleveland, Oh, 44102 (2 requests)
Illegal Dumping, June 06, 2024, 06:20PM
Illegal Dumping, July 10, 2024, 01:15PM

9516 Baltic Rd, Cleveland, Oh, 44102 (2 requests)
Missed Refuse pick up, June 06, 2024, 08:12PM
Scheduled Bulk Pick up, July 16, 2024, 08:47PM

9820 Hilgert Dr, Cleveland, Oh, 44104 (2 requests)
Missed Refuse pick up, June 06, 2024, 08:26PM
Missed Refuse pick up, July 12, 2024, 05:58PM

3163 W 111Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, June 06, 2024, 08:49PM
Waste Cart Concerns, June 06, 2024, 08:50PM

12117 Corlett Ave, Cleveland, Oh, 44105 (2 requests)
Vacant Property Open to Entry, June 06, 2024, 08:51PM
Vacant Property Open to Entry, July 15, 2024, 11:38AM

3368 E 149Th St, Cleveland, Oh, 44120 (2 requests)
Vacant Property, June 06, 2024, 09:34PM
Vacant Property, July 10, 2024, 09:50AM

17900 Delavan Ave, Cleveland, Oh, 44119 (2 requests)
Scheduled Bulk Pick up, June 07, 2024, 01:03PM
Scheduled Bulk Pick up, June 21, 2024, 03:54PM

13530 Miles Ave, Cleveland, Oh, 44128 (2 requests)
No Permit, June 07, 2024, 01:23PM
General Exterior Maintenance/Fence/Outbuildings, June 07, 2024, 01:26PM

3201 Library Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, June 07, 2024, 01:30PM
Recycling Opt-in Program, June 07, 2024, 01:34PM

17120 Endora Rd, Cleveland, Oh, 44112 (2 requests)
Missing Recycling Welcome Packet, June 07, 2024, 01:41PM
Waste Collection Citation Concern, June 10, 2024, 08:15PM

4513 Fulton Rd, Cleveland, Oh, 44144 (2 requests)
Missed Refuse pick up, June 07, 2024, 02:46PM
Missed Refuse pick up, June 28, 2024, 04:06PM

981 Stevenson Rd, Cleveland, Oh, 44110 (2 requests)
Tree Service, June 07, 2024, 03:29PM
Tree Service, June 07, 2024, 03:31PM

3483 W 52Nd St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, June 07, 2024, 03:40PM
Cart Pick Up, June 07, 2024, 03:45PM

11500 Madison Ave, Cleveland, Oh, 44102 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 07, 2024, 04:34PM
Illegal Dumping, June 07, 2024, 04:37PM

3670 E 61St St, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, June 07, 2024, 04:56PM
Waste Cart Concerns, July 17, 2024, 07:35PM

3526 Walton Ave, Cleveland, Oh, 44113 (2 requests)
Waste Cart Concerns, June 07, 2024, 05:58PM
Missing Recycling Welcome Packet, June 07, 2024, 05:59PM

7815 Colgate Ave, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, June 07, 2024, 06:48PM
Waste Cart Concerns, June 07, 2024, 06:49PM

11525 Madison Ave, Cleveland, Oh, 44102 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 07, 2024, 07:19PM
Graffiti Removal, June 07, 2024, 07:22PM

6302 Francis Ave, Cleveland, Oh, 44127 (2 requests)
Waste Cart Concerns, June 07, 2024, 08:14PM
Vacant Property, July 05, 2024, 07:24PM

6027 Hillman Ave, Cleveland, Oh, 44127 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 07, 2024, 09:14PM
Illegal Dumping, June 28, 2024, 12:56PM

16436 Miles Ave, Cleveland, Oh, 44128 (2 requests)
Traffic Signal Repair, June 09, 2024, 07:49PM
Traffic Signal Repair, July 14, 2024, 10:03PM

4491 Broadview Rd, Cleveland, Oh, 44109 (2 requests)
Scheduled Bulk Pick up, June 10, 2024, 03:51PM
Scheduled Bulk Pick up, July 03, 2024, 05:02PM

14722 Coit Rd, Cleveland, Oh, 44110 (2 requests)
Vacant Property Open to Entry, June 10, 2024, 08:44PM
Vacant Property Open to Entry, July 09, 2024, 02:38PM

11117 Melba Ave, Cleveland, Oh, 44104 (2 requests)
Rental Inspection Complaint, June 11, 2024, 01:35PM
